Root_ID	Top_in_out_region	Community_labels	Predicted_NT_type	Predicted_NT_confidence	Verified_NT_type	Verified_Neuropeptide	Body_Part	Function	Flow	Super_Class	Class	Sub_Class	Hemilineage	Nerve	Soma_side	Primary_Cell_Type	Alternative_Cell_Types	Cable_length_nm	Surface_area_nm^2	Volume_nm^3
720575941568428282	MB_CA.NO_CONS	soma_in_brain	DA	0.66	acetylcholine	sNPF	_	_	intrinsic	central_brain_intrinsic	kenyon_cell	KCab	MBp2	_	left	KCab	KCab	_	_	_
720575941568430068	ME	CNS_neuron_soma_in_brain	SER	0.7	gaba	_	_	_	intrinsic	optic_lobe_intrinsic	distal_medulla	_	_	_	right	Dm10	Dm10	_	_	_
720575941568431730	ME.LOP	CNS_neuron_T4_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T4b	T4b	_	_	_
720575941568432242	ME.LOP	CNS_neuron_T4_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T4a	T4a	_	_	_
720575941568432498	ME	soma_in_brain	_	_	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941568432628	ME	CNS_neuron_Mi1?_soma_in_brain	ACH	0.93	_	_	_	_	intrinsic	optic_lobe_intrinsic	medulla_intrinsic	_	_	_	right	Mi13	Mi13	_	_	_
720575941568434222	ME	CNS_neuron_soma_in_brain	GABA	0.48	gaba	_	_	_	intrinsic	optic_lobe_intrinsic	proximal_medulla	_	_	_	right	Pm03	Pm03	_	_	_
720575941568434290	ME.LOP	CNS_neuron_T4_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T4b	T4b	_	_	_
720575941568437362	ME	CNS_neuron_centrifugal_soma_in_brain	GABA	0.45	gaba_nitric_oxide	_	_	_	intrinsic	optic_lobe_intrinsic	optic_lobe_intrinsic_centrifugal	_	_	_	right	C3	C3	_	_	_
720575941568440058	ANM	_	ACH	0.69	_	_	abdomen	_	afferent	sensory	orphan_neuron	abdomen_orphan_neuron	_	left_fourth_abdominal_nerve	left	SNxx06	SNxx06	_	_	_
720575941568440178	ME.LOP	CNS_neuron_T4_neuron_soma_in_brain	ACH	0.99	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T4c	T4c	_	_	_
720575941568440308	NO_CONS	Mi9?_soma_in_brain	_	_	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941568442362	AL	_	ACH	0.96	_	_	_	_	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	_	_	_	_	_
720575941568443250	ME.LO	CNS_neuron_soma_in_brain	ACH	0.59	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T2	T2	_	_	_
720575941568444148	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5c	T5c	_	_	_
720575941568445428	ME	Mi9?_soma_in_brain	ACH	0.42	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941568446066	ME	CNS_neuron_soma_in_brain	ACH	0.97	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transmedullary	_	_	_	right	Tm2	Tm2	_	_	_
720575941568446766	MB_ML.NO_CONS	soma_in_brain	_	_	dopamine_nitric_oxide	_	_	_	intrinsic	central_brain_intrinsic	mushroom_body_dopaminergic_neuron	PAM_dopaminergic_neuron	CREa1_dorsal	_	right	PAM01	PAM01	_	_	_
720575941568447278	AL	_	ACH	0.99	acetylcholine	sNPF	antenna	alcoholic_fermentation_volatile_olfactory	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	ORN_DM2	ORN_DM2	_	_	_
720575941568448302	NO_CONS.AL	_	ACH	0.93	acetylcholine	sNPF	antenna	olfactory_pheromone_volatile	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	ORN_DL3	ORN_DL3	_	_	_
720575941568451374	AVLP	soma_in_brain	ACH	0.36	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	VLPl1_or_VLPl5	_	right	CB2178	CB2178	_	_	_
720575941568452398	AL	_	ACH	0.75	_	_	_	_	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	_	_	_	_	_
720575941568452722	ME.LO	CNS_neuron_soma_in_brain	ACH	0.98	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T2	T2	_	_	_
720575941568453108	ME	CNS_neuron_soma_in_brain	ACH	0.98	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transmedullary	_	_	_	right	Tm3	Tm3	_	_	_
720575941568453620	ME.LO	CNS_neuron_T2_neuron_soma_in_brain	ACH	0.93	_	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T2a	T2a	_	_	_
720575941568453882	ANM	_	ACH	0.64	_	_	abdomen	_	afferent	sensory	orphan_neuron	abdomen_orphan_neuron	_	abdominal_nerve_trunk	left	SNxx01	SNxx01	_	_	_
720575941568454132	LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5a	T5a	_	_	_
720575941568454138	AL	_	ACH	0.95	acetylcholine	_	antenna	alcoholic_fermentation_volatile_olfactory	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	ORN_VM3	ORN_VM3	_	_	_
720575941568454770	ME.LO	CNS_neuron_T2_neuron_T2?	ACH	0.92	_	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T2a	T2a	_	_	_
720575941568455418	T3_METANM	_	ACH	0.55	acetylcholine	_	hind_leg	proprioception_vibro_tactile	afferent	sensory	chordotonal_organ_neuron	hind_leg_club_chordotonal_organ_neuron	_	left_metathoracic_leg_nerve	left	SNpp59	SNpp59	_	_	_
720575941568455668	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5d	T5d	_	_	_
720575941568455674	AL	_	ACH	0.99	acetylcholine	sNPF	antenna	olfactory_yeasty_volatile	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	right_maxillary-labial_nerve	right	ORN_VA4	ORN_VA4	_	_	_
720575941568456436	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5c	T5c	_	_	_
720575941568458286	AL	GABAergic_lLN2P_;_Patchy_Antennal_Lobe_Local_Neuron_;_ALLN_soma_in_brain	GABA	0.48	gaba	_	_	_	intrinsic	central_brain_intrinsic	antennal_lobe_local_neuron	_	_	_	right	lLN2P_a	lLN2P_lLN2P_a	_	_	_
720575941568459054	NO_CONS.AL	_	ACH	1.0	_	_	_	_	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	_	_	_	_	_
720575941568465710	PLP	soma_in_brain	ACH	0.3	_	_	_	_	intrinsic	visual_projection	medulla_tangential	_	_	_	left	MTe53	MTe53	_	_	_
720575941568467706	T1_PRONM	_	GABA	0.56	_	_	front_leg	tactile	afferent	sensory	bristle_neuron	front_leg_bristle_neuron	_	right_prothoracic_leg_nerve	right	SNxxxx	SNxxxx	_	_	_
720575941568473588	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5c	T5c	_	_	_
720575941568474356	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	1.0	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5d	T5d	_	_	_
720575941568474414	ME	soma_in_brain	ACH	0.72	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568476462	ME	soma_in_brain	GABA	0.74	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568478766	ME.LO	soma_in_brain	ACH	0.77	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568484654	LO	soma_in_brain	ACH	0.79	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568488494	ME.LO	soma_in_brain	ACH	0.75	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568488692	ME	soma_in_brain	ACH	0.41	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
720575941568488750	ME	soma_in_brain	ACH	0.96	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568494894	NO_CONS.LO	soma_in_brain	ACH	0.5	_	_	_	_	intrinsic	visual_projection	lobula_columnar	_	_	_	left	LCe03	LCe03	_	_	_
720575941568499246	AMMC	_	GABA	0.89	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	LB0_anterior	_	right	CB3877	CB3877	_	_	_
720575941568499502	AVLP.LTCT	CNS_neuron	ACH	0.92	_	_	_	_	intrinsic	descending	descending_neuron	_	putative_primary	_	right	DNp55	DNp55	_	_	_
720575941568501038	ME	soma_in_brain	GLUT	0.66	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568501806	NO_CONS.GNG	_	_	_	_	_	interommatidial	tactile	afferent	sensory	bristle_neuron	interommatidial_bristle_neuron	_	left_eye_nerve	left	BM_InOm	BM_InOm	_	_	_
720575941568502522	AL	_	ACH	0.99	acetylcholine	_	antenna	alcoholic_fermentation_volatile_olfactory	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	right_antennal_nerve	right	ORN_VA2	ORN_VA2	_	_	_
720575941568502772	ME	CNS_neuron_soma_in_brain	ACH	0.97	acetylcholine	Tk	_	_	intrinsic	optic_lobe_intrinsic	transmedullary	_	_	_	right	Tm1	Tm1	_	_	_
720575941568504366	ME	soma_in_brain	ACH	0.39	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568504878	LO.LOP	soma_in_brain	ACH	0.96	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568507130	AL	_	ACH	0.99	acetylcholine	_	antenna	fruity_volatile_olfactory	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	left_antennal_nerve	left	ORN_VM2	ORN_VM2	_	_	_
720575941568507642	T3_METANM	_	ACH	0.82	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	left_metathoracic_leg_nerve	left	SNta34	SNta34	_	_	_
720575941568508154	T3_METANM	_	GABA	0.83	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	left_metathoracic_leg_nerve	left	SNta21	SNta21	_	_	_
720575941568508666	T3_METANM	_	GABA	0.55	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	right_metathoracic_leg_nerve	right	SNta28	SNta28	_	_	_
720575941568508718	ME	soma_in_brain	ACH	0.87	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568510458	T3_METANM	_	GABA	0.51	_	_	hind_leg	joint_angle_proprioception	afferent	sensory	hair_plate_neuron	hind_leg_hair_plate_neuron	_	right_metathoracic_leg_nerve	right	SNpp45	SNpp45	_	_	_
720575941568512250	T3_METANM	_	ACH	0.81	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	right_metathoracic_leg_nerve	right	SNta37	SNta37	_	_	_
720575941568513274	T3_METANM	_	ACH	0.83	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	right_metathoracic_leg_nerve	right	SNta19	SNta19	_	_	_
720575941568514418	MB_CA	soma_in_brain	DA	0.26	_	_	_	_	_	central_brain_intrinsic	kenyon_cell	_	_	_	right	KCab-m	KCab-m	_	_	_
720575941568515322	T3_METANM	_	ACH	0.64	_	_	hind_leg	gustatory_tactile	afferent	sensory	taste_peg_neuron	hind_leg_taste_peg_neuron	_	right_metathoracic_leg_nerve	right	SNch05	SNch05	_	_	_
720575941568515630	ME.LO	soma_in_brain	ACH	0.82	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568516602	T3_METANM	_	ACH	0.54	_	_	hind_leg	tactile	afferent	sensory	bristle_neuron	hind_leg_bristle_neuron	_	left_metathoracic_leg_nerve	left	SNta32	SNta32	_	_	_
720575941568520750	AOTU	soma_in_brain	ACH	0.81	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568521210	ANM	soma_in_VNC	ACH	0.48	glutamate	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_restricted	02A	_	left	IN02A059	IN02A059	_	_	_
720575941568521330	MB_CA.MB_ML	CNS_neuron_soma_in_brain	DA	0.61	acetylcholine	sNPF	_	_	intrinsic	central_brain_intrinsic	kenyon_cell	KCg	MBp4	_	right	KCg-m	KCg-m	_	_	_
720575941568523770	AVLP.ICL	soma_in_brain	ACH	0.58	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	VLPl2_medial	_	left	CB2428	CB2428	_	_	_
720575941568529198	NO_CONS	soma_in_brain	ACH	0.56	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568532014	AVLP	soma_in_brain	ACH	0.76	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	VLPl&p2_lateral	_	left	CB3006	CB3006	_	_	_
720575941568532594	LO.LOP	CNS_neuron_T5_neuron_soma_in_brain	ACH	0.97	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transverse_neuron	_	_	_	right	T5a	T5a	_	_	_
720575941568537594	SAD	soma_in_brain	GABA	0.98	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	MX3	_	right	CB2440	CB2440	_	_	_
720575941568537714	ANM	soma_in_VNC	GLUT	0.95	glutamate	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_ipsilateral_restricted	02A	_	right	IN02A064	IN02A064	_	_	_
720575941568540274	HTCT	soma_in_VNC	ACH	0.9	acetylcholine	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	07B	_	left	IN07B098	IN07B098	_	_	_
720575941568542196	ME.LO	CNS_neuron_soma_in_brain	ACH	0.96	acetylcholine	_	_	_	intrinsic	optic_lobe_intrinsic	transmedullary_y	_	_	_	right	TmY3	TmY3	_	_	_
720575941568543482	SLP.NO_CONS	soma_in_brain	ACH	0.37	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	SLPpm3	_	right	CB2928	CB2928	_	_	_
720575941568546418	T1_PRONM	innervates_T1_leg_innervates_leg_innervates_right_side_of_body	GABA	0.51	_	_	front_leg	extend_coxa_trochanter_joint_leg_motor	efferent	motor	leg_motor_neuron	front_leg_motor_neuron	_	right_ventral_prothoracic_nerve	right	tergotrochanter_extensor	tergotrochanter_extensor	_	_	_
720575941568547186	ANM.NO_CONS	soma_in_VNC	OCT	0.43	_	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	_	_	_	left	_	_	_	_	_
720575941568548090	MB_CA	soma_in_brain	DA	0.59	acetylcholine	sNPF	_	_	intrinsic	central_brain_intrinsic	kenyon_cell	KCab	MBp4	_	left	KCab	KCab	_	_	_
720575941568552692	LO.PVLP	soma_in_brain	ACH	0.51	_	_	_	_	intrinsic	visual_projection	lobula_columnar	_	_	_	left	LC12	LC12	_	_	_
720575941568553330	T2_MESONM	innervates_T2_leg_innervates_left_side_of_body_innervates_leg	GABA	0.43	_	_	middle_leg	extend_coxa_trochanter_joint_leg_motor	efferent	motor	leg_motor_neuron	middle_leg_motor_neuron	_	left_mesothoracic_leg_nerve	left	sternotrochanter_extensor_MesoLN_dorsal_3	sternotrochanter_extensor_MesoLN_dorsal_3	_	_	_
720575941568553586	HTCT.WTCT	soma_in_VNC	GLUT	0.99	glutamate	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	08A	_	left	vMS11	vMS11	_	_	_
720575941568555634	WTCT	soma_in_VNC	GABA	0.99	_	_	_	_	intrinsic	ventral_nerve_cord_intrinsic	_	ventral_nerve_cord_bilateral_interconnecting	03B	_	left	IN03B058	IN03B058	_	_	_
720575941568558068	AL	_	ACH	0.98	acetylcholine	_	antenna	alcoholic_fermentation_volatile_olfactory	afferent	sensory	olfactory_receptor_neuron	antenna_olfactory_receptor_neuron	_	right_antennal_nerve	right	ORN_DP1m	ORN_DP1m	_	_	_
720575941568567154	PLP.MB_ML	soma_in_brain	DA	0.63	acetylcholine	sNPF	_	_	intrinsic	central_brain_intrinsic	kenyon_cell	KCg	MBp3	_	left	KCg-d	KCg-d	_	_	_
720575941568568366	ME	soma_in_brain	GABA	0.75	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568570618	AVLP	soma_in_brain	ACH	0.55	_	_	_	_	intrinsic	central_brain_intrinsic	_	_	VLPl&d1_lateral	_	right	CB2001	CB2001	_	_	_
720575941568571892	ME.LO	CNS_neuron_soma_in_brain	ACH	0.95	_	_	_	_	intrinsic	optic_lobe_intrinsic	y_neuron	_	_	_	right	Y3	Y3	_	_	_
720575941568577326	PLP	soma_in_brain	ACH	0.77	acetylcholine	_	_	_	intrinsic	visual_projection	lobula_columnar	_	VLPp&l1_lateral	_	left	LC40	LC40	_	_	_
720575941568580142	LOP.PLP	soma_in_brain	ACH	0.81	_	_	_	_	_	_	_	_	_	_	left	_	_	_	_	_
720575941568580596	LO.ME	Mi4?_soma_in_brain	ACH	0.7	_	_	_	_	_	_	_	_	_	_	right	_	_	_	_	_
