Root_ID	Top_in_out_region	Verified_NT_type
720575941391491588	ME.LO	acetylcholine
720575941391492246	LO.LOP	acetylcholine
720575941391492758	LO.LOP	acetylcholine
720575941391498390	LO.LOP	acetylcholine
720575941391506582	LOP	acetylcholine
720575941391509910	ME	acetylcholine
720575941391511446	ME	glutamate
720575941391516420	LO	acetylcholine
720575941391516932	LO.LOP	acetylcholine
720575941391517700	LO.LOP	acetylcholine
720575941391519894	ME	gaba_nitric_oxide
720575941391522198	LOP	acetylcholine
720575941391527684	ME	acetylcholine
720575941391531670	ME.LOP	acetylcholine
720575941391537668	ME.LOP	acetylcholine
720575941391542020	ME	acetylcholine
720575941391563926	ME.LOP	glutamate
720575941391564548	ME.LO	acetylcholine
720575941391568132	ME	glutamate
720575941391572740	ME	acetylcholine
720575941391584150	ME	acetylcholine
720575941391608580	ME.LOP	acetylcholine
720575941391648406	ME.LO	acetylcholine
720575941391655318	ME.LOP	acetylcholine
720575941391665814	ME	acetylcholine
720575941391678980	ME	gaba_nitric_oxide
720575941391679236	ME.LOP	acetylcholine
720575941391682052	T3_METANM	acetylcholine
720575941391687062	LOP	acetylcholine
720575941391691268	ME.LO	acetylcholine
720575941391696022	ME	acetylcholine
720575941391703446	ME	glutamate
720575941391723670	ME	acetylcholine
720575941391736982	ME.LOP	acetylcholine
720575941391740676	SCL.MB_ML	acetylcholine
720575941391749380	ME	glutamate
720575941391756804	ME	gaba_nitric_oxide
720575941391770116	LOP.LO	acetylcholine
720575941391777540	T3_METANM	acetylcholine
720575941391789060	T1_PRONM	glutamate
720575941391792388	T1_PRONM	glutamate
720575941391803140	WTCT	gaba
720575941391811076	INTTCT.AMNP	glutamate
720575941391853572	T1_PRONM	acetylcholine
720575941391870468	T3_METANM	acetylcholine
720575941391906052	MB_CA.MB_ML	acetylcholine
720575941391910148	MB_CA	acetylcholine
720575941391925508	T2_MESONM	gaba
720575941391926020	NTCT	gaba
720575941391928580	AL	acetylcholine
720575941391953156	AL	acetylcholine
720575941391958020	AL	acetylcholine
720575941391968150	T3_METANM	acetylcholine
720575941391968918	T2_MESONM	acetylcholine
720575941391970710	T3_METANM	gaba
720575941391982084	AL	acetylcholine
720575941391982998	ME	glutamate
720575941391990788	SMP.CRE	dopamine
720575941391996310	ME	acetylcholine
720575941392001686	ME	acetylcholine_dopamine_nitric_oxide
720575941392018436	MB_CA.MB_ML	acetylcholine
720575941392030614	HTCT	glutamate
720575941392034198	T3_METANM	gaba
720575941392036246	T3_METANM	gaba
720575941392039574	T1_PRONM	acetylcholine
720575941392049046	ME.NO_CONS	glutamate
720575941392057238	ME.LO	acetylcholine
720575941392113156	AVLP.SLP	acetylcholine
720575941392134806	LO.LOP	acetylcholine
720575941392137366	ME	acetylcholine
720575941392158102	ME	gaba
720575941392163734	ME	gaba_nitric_oxide
720575941392171926	LO.LOP	acetylcholine
720575941392174340	MB_CA.MB_VL	acetylcholine
720575941392178326	T3_MVAC	gaba
720575941392178838	T3_MVAC	acetylcholine
720575941392197270	T3_MVAC	acetylcholine
720575941392210436	ME	acetylcholine_dopamine_nitric_oxide
720575941392219542	T3_METANM	gaba
720575941392250006	ME.LO	acetylcholine
720575941392252310	T3_MVAC	acetylcholine
720575941392252420	ME	gaba
720575941392278678	HTCT	acetylcholine
720575941392302852	HTCT.WTCT	acetylcholine
720575941392306582	ME.UNASSIGNED	acetylcholine
720575941392321284	MB_CA	acetylcholine
720575941392321686	ME.LO	acetylcholine
720575941392321942	NO_CONS	acetylcholine
720575941392332548	ME	glutamate
720575941392334852	ME	glutamate
720575941392349590	MB_CA	acetylcholine
720575941392351748	PVLP	acetylcholine
720575941392353430	ME	gaba_nitric_oxide
720575941392358294	ME	gaba_nitric_oxide
720575941392359830	MB_CA.MB_ML	acetylcholine
720575941392405654	ME	acetylcholine
720575941392417174	T3_METANM	acetylcholine
720575941392418710	T2_MESONM	gaba
720575941392419076	ME	gaba_nitric_oxide
720575941392419844	ME.LO	acetylcholine
720575941392423830	NTCT.WTCT	gaba
720575941392424598	T1_PRONM	gaba
720575941392459524	FB	acetylcholine
720575941392463620	ME	acetylcholine
720575941392478468	ME.LO	acetylcholine
720575941392484612	T3_METANM	gaba
720575941392487428	MB_CA.NO_CONS	acetylcholine
720575941392491268	WTCT.HTCT	acetylcholine
720575941392492804	T2_MESONM	acetylcholine
720575941392493060	ME	gaba
720575941392509700	ME	acetylcholine
720575941392518916	ME.LO	acetylcholine
720575941392524438	CRE.NO_CONS	dopamine_nitric_oxide
720575941392604054	HTCT	acetylcholine
720575941392613380	ME	acetylcholine_dopamine_nitric_oxide
720575941392615940	ME.LO	acetylcholine
720575941392620438	MB_CA.NO_CONS	acetylcholine
720575941392627862	MB_CA.MB_PED	acetylcholine
720575941392629142	MB_CA.MB_VL	acetylcholine
720575941392637334	MB_VL.MB_ML	acetylcholine
720575941392641430	MB_CA.NO_CONS	acetylcholine
720575941392642454	MB_CA.MB_ML	acetylcholine
720575941392643222	MB_CA	acetylcholine
720575941392651158	SMP.MB_ML	dopamine_nitric_oxide
720575941392654230	MB_CA.NO_CONS	acetylcholine
720575941392654486	MB_CA.AOTU	acetylcholine
720575941392655510	MB_CA.NO_CONS	acetylcholine
720575941392656278	MB_CA.MB_VL	acetylcholine
720575941392667286	LTCT.HTCT	acetylcholine
720575941392697238	T3_METANM	acetylcholine
720575941392698262	SIP.NO_CONS	dopamine
720575941392700932	MB_CA	acetylcholine
720575941392715012	T2_MESONM	acetylcholine
720575941392725910	T2_MESONM	glutamate
720575941392737174	ME.LO	acetylcholine
720575941392744964	LTCT	gaba
720575941392755094	MB_CA.MB_PED	acetylcholine
720575941392768004	AL	acetylcholine
720575941392768150	IPS	gaba
720575941392816278	ME	acetylcholine
720575941392855446	ME	acetylcholine
720575941392869014	ME	acetylcholine
720575941392873476	AL	acetylcholine
720575941392897796	AL	acetylcholine
720575941392902660	MB_CA.NO_CONS	acetylcholine
720575941392902806	ME	acetylcholine
720575941392905220	AMMC.WED	acetylcholine
720575941392923798	AL	acetylcholine
720575941392924676	AL.LH	gaba
720575941392971926	ME.LO	acetylcholine
720575941393004694	ME	glutamate
720575941393022614	ME	acetylcholine_dopamine_nitric_oxide
720575941393038998	LO.LOP	acetylcholine
720575941393043460	PLP	acetylcholine
720575941393105302	ME.LOP	acetylcholine
720575941393173910	ME.LOP	acetylcholine
720575941393181334	MB_CA.NO_CONS	acetylcholine
720575941393193366	FB	acetylcholine
720575941393195012	LH.PVLP	acetylcholine
720575941393205654	HTCT.INTTCT	acetylcholine
720575941393212054	MB_CA	acetylcholine
720575941393227414	ME	gaba_nitric_oxide
720575941393242518	ME	glutamate
720575941393256086	ME.NO_CONS	acetylcholine_nitric_oxide
720575941393278212	AL	acetylcholine
720575941393316758	MB_CA.MB_PED	acetylcholine
720575941393325462	ME	glutamate
720575941393335190	ME	glutamate
720575941393354390	WTCT.INTTCT	acetylcholine
720575941393354646	ME.LO	acetylcholine
720575941393358742	ME	gaba_nitric_oxide
720575941393394070	ME.LO	acetylcholine
720575941393488790	INTTCT	acetylcholine
720575941393489814	T1_PRONM	gaba
720575941393490838	T3_METANM.INTTCT	gaba
720575941393492374	T3_METANM	acetylcholine
720575941393506710	ME	gaba_nitric_oxide
720575941393548694	NO_CONS.AL	acetylcholine
720575941393557142	LO	acetylcholine
720575941393590934	AL.SMP	acetylcholine
720575941393675926	EB	gaba
720575941393700502	PLP.UNASSIGNED	acetylcholine
720575941393722006	LTCT.INTTCT	acetylcholine
720575941393723030	ME	gaba
720575941393732502	ANM.T3_METANM	acetylcholine
720575941393745302	AL	acetylcholine
720575941393748630	T3_METANM.T1_PRONM	acetylcholine
720575941393833878	ME	glutamate
720575941393908252	ME	acetylcholine
720575941393983382	T1_PRONM.SPS	acetylcholine
720575941394069654	HTCT	acetylcholine
720575941394072982	WED	gaba
720575941394103190	ME	glutamate
720575941394131094	FLA.WTCT	serotonin
720575941399163683	T2_MESONM	acetylcholine
720575941399164451	T2_MESONM	acetylcholine
720575941399188003	NTCT.HTCT	acetylcholine
720575941399201315	NTCT	gaba
720575941399201827	T1_PRONM	acetylcholine
720575941399251235	INTTCT.WTCT	acetylcholine
720575941399288355	T1_PRONM.T1_MVAC	acetylcholine
720575941399292707	T3_METANM	gaba
720575941399314723	T1_PRONM	gaba
720575941399317539	T1_PRONM	gaba
720575941399323683	T3_METANM	acetylcholine
720575941399324963	T1_PRONM	acetylcholine
720575941399339811	T3_METANM	gaba
720575941399576867	MB_CA.MB_ML	acetylcholine
720575941399595555	NTCT	gaba
720575941399615011	LO	gaba
720575941399900451	MB_CA.NO_CONS	acetylcholine
720575941399911203	ME.LO	acetylcholine
720575941399926051	LO.LOP	acetylcholine
720575941399936803	EB	gaba
720575941399948067	ME.LOP	acetylcholine
720575941399952931	LO.LOP	acetylcholine
720575941399961635	ME	gaba
720575941399965987	ME.LOP	acetylcholine
720575941399975715	LO.LOP	acetylcholine
720575941399979299	ME	acetylcholine
720575941399981859	LO	acetylcholine
720575941399990307	ME	glutamate
720575941399992355	ME.LOP	acetylcholine
720575941399994915	ME.LOP	acetylcholine
720575941400000291	ME.NO_CONS	glutamate
720575941400002851	LO.LOP	acetylcholine
720575941400008739	ME.PLP	acetylcholine
720575941400022819	LO.LOP	acetylcholine
720575941400086051	LOP.PVLP	acetylcholine
720575941400091683	ME	acetylcholine
720575941400095267	ME.LOP	acetylcholine
720575941400101155	ME.LOP	acetylcholine
720575941400124707	ME.LOP	acetylcholine
720575941400125219	ME	acetylcholine
720575941400127011	ME.LO	glutamate
720575941400135971	ME	acetylcholine
720575941400138019	LO.LOP	acetylcholine
720575941400143907	NO_CONS.ME	gaba_nitric_oxide
720575941400162595	ME.LOP	acetylcholine
720575941400171299	ME	gaba
720575941400171555	LO.LOP	acetylcholine
720575941400178467	ME.LOP	acetylcholine
720575941400178979	LO.LOP	acetylcholine
720575941400183075	ME.LOP	acetylcholine
720575941400207907	ME	gaba
720575941400213283	LO.LOP	acetylcholine
720575941400230179	ME	gaba_nitric_oxide
720575941400249123	LO	glutamate
720575941400265763	NO_CONS.T3_MVAC	acetylcholine
720575941400313891	ME	acetylcholine
720575941400314659	ME	acetylcholine
720575941400319779	T1_PRONM	acetylcholine
720575941400332579	LO.LOP	acetylcholine
720575941400357411	LOP	glutamate
720575941400360739	ME	acetylcholine
720575941400369955	ME	acetylcholine
720575941400395299	ME.LOP	acetylcholine
720575941400396067	ME	glutamate
720575941400401443	ME	glutamate
720575941400404259	ME	glutamate
720575941400420899	T3_METANM	gaba
720575941400436515	LO.LOP	acetylcholine
720575941400441635	ME	glutamate
720575941400441891	LOP	acetylcholine
720575941400457251	LO.LOP	acetylcholine
720575941400469027	ME.LOP	acetylcholine
720575941400471587	ME	glutamate
720575941400475683	ME.LOP	acetylcholine
720575941400484899	ME.LO	acetylcholine
720575941400519459	LO.LOP	acetylcholine
720575941400575011	ME.LO	acetylcholine
720575941400624675	ME.LOP	acetylcholine
720575941400688419	T1_MVAC	gaba
720575941400698403	T1_PRONM	gaba
720575941400703267	NTCT.HTCT	gaba
720575941400707875	T1_PRONM	glutamate
720575941400710435	HTCT	gaba
720575941400730659	MB_CA.MB_PED	acetylcholine
720575941400734243	MB_CA	acetylcholine
720575941400736035	T1_PRONM	acetylcholine
720575941400738339	SCL.ICL	acetylcholine
720575941400738595	ME	acetylcholine
720575941400741411	MB_CA.MB_ML	acetylcholine
720575941400788771	T1_PRONM	acetylcholine
720575941400838179	MB_CA.MB_PED	acetylcholine
720575941400845091	MB_CA.MB_PED	acetylcholine
720575941400855587	MB_CA.NO_CONS	acetylcholine
720575941400856099	MB_CA.MB_VL	acetylcholine
720575941400884771	AL	acetylcholine
720575941400896291	AL	acetylcholine
720575941400948515	AL	acetylcholine
720575941401013539	SIP.NO_CONS	dopamine
720575941401071139	MB_CA.MB_PED	acetylcholine
720575941401093155	LO.LOP	acetylcholine
720575941401148707	LOP.ME	glutamate
720575941401204515	ME	acetylcholine
720575941401253155	ME	acetylcholine_dopamine_nitric_oxide
720575941401286179	AL	acetylcholine
720575941401359395	ME.NO_CONS	glutamate
720575941401375011	T2_MESONM.AVLP	acetylcholine
720575941401382435	MB_CA.NO_CONS	acetylcholine
720575941401391139	MB_CA	acetylcholine
720575941401437987	ME	glutamate
720575941401454883	T1_PRONM	gaba
720575941401456931	NTCT.HTCT	gaba
720575941401486371	ME	acetylcholine_dopamine_nitric_oxide
720575941401496867	ME	gaba_nitric_oxide
720575941401505059	ME	glutamate
720575941401517859	ME.LO	acetylcholine
720575941401518371	ME	gaba_nitric_oxide
720575941401519907	ME	glutamate
720575941401525539	ME.LO	acetylcholine
720575941401526307	ME.LO	acetylcholine
720575941401552163	ME.LO	acetylcholine
720575941401609251	ME	acetylcholine_dopamine_nitric_oxide
720575941401609507	ME	gaba_nitric_oxide
720575941401656355	ME	gaba_nitric_oxide
720575941401704483	MB_CA	acetylcholine
720575941401716003	EB.PB	acetylcholine
720575941401722147	MB_CA.MB_VL	acetylcholine
720575941401724707	MB_CA.MB_PED	acetylcholine
720575941401753379	T1_PRONM.T2_MESONM	acetylcholine
720575941401773091	T1_PRONM	acetylcholine
720575941401776931	T1_PRONM.HTCT	acetylcholine
720575941401780003	T3_METANM.T1_PRONM	acetylcholine
720575941401795619	T1_PRONM	acetylcholine
720575941401815331	T2_MESONM.INTTCT	acetylcholine
720575941401838627	ME	gaba
720575941401862947	MB_CA.MB_PED	acetylcholine
720575941401982499	AL.LH	gaba
720575941401984291	LH.SMP	acetylcholine
720575941402032240	WTCT	acetylcholine
720575941402049904	T3_METANM	acetylcholine
720575941402058608	HTCT	gaba
720575941402071408	T1_PRONM	gaba
720575941402086000	T2_MESONM	gaba
720575941402086768	T2_MESONM	acetylcholine
720575941402112547	T2_MESONM	gaba
720575941402136944	T3_METANM	gaba
720575941402163824	T3_METANM	acetylcholine
720575941402207779	LOP.IPS	acetylcholine
720575941402241827	LO.PVLP	acetylcholine
720575941402279971	INTTCT.GNG	acetylcholine
720575941402321699	ME.LO	acetylcholine
720575941402436899	ME.LOP	acetylcholine
720575941402442531	T3_METANM	gaba
720575941402511984	AMMC.WED	acetylcholine
720575941402615408	MB_CA.NO_CONS	acetylcholine
720575941402679920	LOP	acetylcholine
720575941402707312	MB_CA.MB_PED	acetylcholine
720575941402867312	MB_CA.MB_ML	acetylcholine
720575941402877040	ME.LO	acetylcholine
720575941402891376	ME.LOP	acetylcholine
720575941402892400	ME	acetylcholine_dopamine_nitric_oxide
720575941402895472	ME	acetylcholine
720575941402910320	ME	gaba_nitric_oxide
720575941402933872	LO.LOP	acetylcholine
720575941402939760	LO.LOP	acetylcholine
720575941402944368	ME.LOP	acetylcholine
720575941402948464	ME	gaba_nitric_oxide
720575941402963568	LOP	glutamate
720575941402975600	ME.LOP	acetylcholine
720575941403002224	ME.LOP	acetylcholine
720575941403027312	ME	acetylcholine
720575941403027568	ME	gaba_nitric_oxide
720575941403031408	LO.LOP	acetylcholine
720575941403032176	ME	gaba
