root_id	group	nt_type
720575940604056544	AVLP.SLP	ACH
720575940604058540	LO.PVLP	ACH
720575940604064958	FB	ACH
720575940604065470	FB	ACH
720575940604067761	FB	ACH
720575940604070078	LO	GABA
720575940604074174	FB	GLUT
720575940604074854	AVLP	ACH
720575940604076734	LH	ACH
720575940604076990	ME	ACH
720575940604079532	IPS	ACH
720575940604080318	ME.LO	ACH
720575940604081836	PLP.LOP	GABA
720575940604084704	LO.LOP	ACH
720575940604086496	ME	ACH
720575940604087230	ME.LO	GLUT
720575940604088288	AVLP	GLUT
720575940604091308	AVLP.GNG	ACH
720575940604093984	MB_CA.MB_PED	ACH
720575940604094240	ME	ACH
720575940604096614	LO	ACH
720575940604099006	SPS	GLUT
720575940604100785	PVLP.AVLP	GABA
720575940604101310	ME.LO	GLUT
720575940604102880	SMP	ACH
720575940604103200	MB_CA.MB_ML	ACH
720575940604104625	IPS	ACH
720575940604105137	LO.LOP	ACH
720575940604106272	SPS	GLUT
720575940604110513	FB	ACH
720575940604113442	ME.LO	ACH
720575940604114604	AVLP	ACH
720575940604119842	ME	ACH
720575940604121004	LOP.SPS	ACH
720575940604121278	ME	GLUT
720575940604122982	SAD	ACH
720575940604125105	FB	ACH
720575940604125286	LO.PLP	ACH
720575940604125886	SMP	ACH
720575940604125920	LO	ACH
720575940604126129	MB_CA.MB_PED	ACH
720575940604130481	FLA	GABA
720575940604131296	MB_CA.MB_ML	ACH
720575940604132710	MB_CA.MB_ML	ACH
720575940604134577	AVLP	ACH
720575940604139180	PLP	ACH
720575940604142453	ME.LOP	ACH
720575940604147633	LH	GABA
720575940604150560	GNG	GABA
720575940604151008	ME	ACH
720575940604151520	ME	ACH
720575940604157361	NO.FB	SER
720575940604160172	AOTU	GABA
720575940604163761	SLP	GLUT
720575940604165856	LAL	ACH
720575940604167712	IPS	ACH
720575940604168224	MB_CA.CRE	ACH
720575940604174438	LH.SLP	ACH
720575940604174882	ME	ACH
720575940604179372	LO.LOP	ACH
720575940604180140	ME.LOP	ACH
720575940604182374	MB_CA.MB_ML	ACH
720575940604183654	ME	ACH
720575940604187616	ME	GABA
720575940604188384	ME	GLUT
720575940604191456	ME	ACH
720575940604192992	LO.LOP	ACH
720575940604195360	SMP	ACH
720575940604196064	SPS.IPS	ACH
720575940604198828	ME.LOP	ACH
720575940604199596	ME	ACH
720575940604200364	ME.LO	ACH
720575940604201830	AMMC.SAD	GABA
720575940604209580	ME	GABA
720575940604212396	LOP.PLP	ACH
720575940604212838	LO.PLP	ACH
720575940604217534	GNG	ACH
720575940604218028	ME.LO	ACH
720575940604221356	LO.LOP	ACH
720575940604222944	ICL.IB	GLUT
720575940604228454	GNG.IPS	GABA
720575940604229152	LO.AVLP	ACH
720575940604236768	GNG	ACH
720575940604238513	ME	GABA
720575940604240230	FB.SMP	ACH
720575940604240416	SLP	GABA
720575940604241510	GNG	SER
720575940604246304	SLP	GLUT
720575940604247468	ME.LO	ACH
720575940604248032	ME.LO	ACH
720575940604249790	SCL.MB_ML	ACH
720575940604250214	GNG.SPS	GLUT
720575940604255712	ME	ACH
720575940604256102	SCL.ICL	ACH
720575940604257638	GNG	ACH
720575940604268134	AVLP	ACH
720575940604268972	LO.SPS	ACH
720575940604274534	LH.SLP	ACH
720575940604276652	AVLP	ACH
720575940604278705	AOTU.FB	ACH
720575940604281120	LO.PVLP	ACH
720575940604281888	GNG	ACH
720575940604284337	LH.LAL	ACH
720575940604285105	ICL.SPS	GLUT
720575940604285356	AVLP.PVLP	GABA
720575940604288172	LO	ACH
720575940604292710	PLP.ICL	ACH
720575940604304561	MB_CA.MB_ML	ACH
720575940604304742	ME	ACH
720575940604307936	ME	GABA
720575940604308401	SLP	GABA
720575940604318129	MB_CA.MB_VL	ACH
720575940604319078	MB_CA.MB_ML	ACH
720575940604323808	LO.LOP	ACH
720575940604324017	LO.PVLP	ACH
720575940604324320	LO.LOP	ACH
720575940604324576	ME.LOP	ACH
720575940604330854	AVLP	ACH
720575940604332460	SMP.FLA	ACH
720575940604336049	ME.LO	ACH
720575940604337632	ME.LOP	ACH
720575940604341216	LH.AVLP	GABA
720575940604341280	ME	ACH
720575940604345632	ME.AOTU	ACH
720575940604351078	LOP	GABA
720575940604352172	AL.LH	ACH
720575940604352689	AL	ACH
720575940604355872	FLA	SER
720575940604364134	AMMC.SAD	GABA
720575940604364222	SAD.IPS	GABA
720575940604367294	GNG	ACH
720575940604370604	AVLP	ACH
720575940604372070	IPS	GABA
720575940604381886	LO.PVLP	ACH
720575940604383008	SMP	GLUT
720575940604383776	ME.LOP	ACH
720575940604386594	ME.LOP	ACH
