cell_type,root_id,root_626,fafb_match,fafb_nblast,manc_match,manc_nblast
AN17B008,720575941568889332,720575941568889332,720575940617716566,0.32,11359,0.47
DNp29,720575941575342493,720575941506736956,720575940622675421,0.3,18424,0.52
AN05B099,720575941703180762,720575941703180762,720575940624431288,0.49,12985,0.49
DNge040,720575941628237625,720575941628237625,720575940606607234,0.46,12735,0.59
AN07B005,720575941456024883,720575941569579002,720575940620589147,0.55,10418,0.56
DNbe002,720575941449875893,720575941449875893,720575940619116061,0.48,13419,0.57
AN17A004,720575941536279745,720575941536279745,720575940625530114,0.39,10869,0.55
DNbe002,720575941451289949,720575941496684672,720575940621119061,0.41,13049,0.59
DNp09,720575941566493282,720575941633779387,720575940635872101,0.52,12926,0.55
DNpe017,720575941701235930,720575941701235930,720575940629866283,0.54,10721,0.33
AN05B023,720575941499916962,720575941499916962,720575940632674003,0.55,22016,0.58
DNd05,720575941514064716,720575941514064716,720575940629736720,0.42,13238,0.51
DNb01,720575941618895231,720575941618895231,720575940630758418,0.54,12431,0.38
AN17B005,720575941703350746,720575941703350746,720575940636686170,0.44,10795,0.55
AN06B002,720575941455535923,720575941455535923,720575940617871394,0.52,10360,0.58
AN17A003,720575941484691642,720575941441987023,720575940637650830,0.47,11004,0.52
AN19A018_d,720575941585920646,720575941585920646,720575940623700661,0.46,10528,0.56
AN27X009,720575941515951459,720575941515951459,720575940614648273,0.54,10446,0.48
aSP22,720575941541750141,720575941470003677,720575940631520312,0.48,11327,0.56
DNp66,720575941440379733,720575941440379733,720575940626562833,0.48,13343,0.53
DNge141,720575941492217548,720575941560434035,720575940639314229,0.42,13299,0.38
AN09B003,720575941484465862,720575941491127246,720575940612306786,0.52,14965,0.53
DNp64,720575941522568627,720575941519658862,720575940629846722,0.48,17113,0.6
DNp70,720575941472178752,720575941472178752,720575940618314897,0.47,16522,0.54
DNg108,720575941486437954,720575941486437954,720575940627015196,0.4,10240,0.49
DNae003,720575941438773548,720575941438773548,720575940634253281,0.53,12155,0.46
AN09B009,720575941487783888,720575941487783888,720575940625454162,0.5,12987,0.6
AN09B004,720575941632241900,720575941632241900,720575940614298986,0.55,22453,0.57
AN06B002,720575941454918195,720575941454918195,720575940633142831,0.52,10560,0.59
AN23B002,720575941530158980,720575941549448225,720575940626097482,0.45,11715,0.59
DNp59,720575941573616891,720575941573616891,720575940645258606,0.44,12783,0.58
DNg102,720575941521256115,720575941521256115,720575940624877360,0.46,11621,0.44
DNge142,720575941448018196,720575941448018196,720575940607170178,0.43,13169,0.5
AN05B023,720575941527011865,720575941527011865,720575940617894429,0.55,11592,0.58
DNge032,720575941603744697,720575941603744697,720575940618663838,0.37,12969,0.35
DNa04,720575941602323897,720575941602323897,720575940627432680,0.74,11123,0.5
AN05B099,720575941614272531,720575941614272531,720575940624431288,0.49,12985,0.5
AN18B002,720575941703161306,720575941703161306,720575940614642491,0.45,10804,0.5
DNge041,720575941511555344,720575941453538473,720575940622633716,0.49,20538,0.63
DNp102,720575941542664284,720575941542664284,720575940610199781,0.53,11573,0.59
DNd04,720575941440764127,720575941539264242,720575940629412170,0.42,13428,0.43
AN17A009,720575941511508690,720575941511508690,720575940602382304,0.51,11105,0.53
DNbe002,720575941507243589,720575941507243589,720575940621119061,0.4,13049,0.61
AN23B002,720575941515175770,720575941515175770,NA,0.2,10859,0.59
DNp70,720575941546513001,720575941546513001,720575940624349993,0.48,17244,0.55
DNp14,720575941543092060,720575941543092060,720575940620354836,0.47,13012,0.26
AN05B004,720575941508517761,720575941508517761,720575940625175310,0.36,11670,0.35
AN05B096,720575941721644602,720575941721644602,720575940614595643,0.53,11470,0.53
DNge054,720575941573266171,720575941573266171,720575940622161366,0.51,13804,0.38
AN06B011,720575941638266399,720575941638266399,720575940609713710,0.37,11738,0.23
AN06B002,720575941626534090,720575941626534090,720575940641781152,0.53,11023,0.58
DNp23,720575941442187967,720575941542610437,720575940639428174,0.42,27125,0.31
DNp47,720575941549273992,720575941477443358,720575940620038779,0.5,13764,0.67
DNg68,720575941461347027,720575941461347027,720575940630808827,0.49,13553,0.4
DNp64,720575941436764448,720575941461494483,720575940639789475,0.5,17467,0.53
DNp73,720575941472160011,720575941472160011,720575940655587489,0.49,10717,0.24
DNg111,720575941607693421,720575941607693421,720575940631705130,0.47,16814,0.66
AN07B011,720575941476977969,720575941476977969,720575940618096321,0.37,11720,0.45
DNpe031,720575941619883135,720575941619883135,720575940622843530,0.61,13951,0.49
AN07B015,720575941645244360,720575941645244360,720575940614511614,0.54,10884,0.55
DNp49,720575941492477644,720575941547452084,720575940625747812,0.44,11160,0.54
DNg43,720575941508298786,720575941508298786,720575940611772083,0.5,12272,0.5
DNge119,720575941461407955,720575941461407955,720575940619191966,0.51,17798,0.53
AN09B003,720575941702564314,720575941702564314,720575940632754003,0.67,11796,0.68
DNa15,720575941440280767,720575941440280767,720575940609488942,0.53,10720,0.64
DNge032,720575941547317940,720575941547317940,720575940631508598,0.42,12915,0.39
AN17A014,720575941483506618,720575941483506618,720575940619206772,0.55,10442,0.52
DNge063,720575941631028962,720575941631028962,720575940616597334,0.46,11220,0.57
ANXXX086,720575941436052000,720575941436052000,720575940613266026,0.47,53199180469,0.52
DNge079,720575941658941264,720575941658941264,720575940631928121,0.19,10097,0.44
DNp07,720575941545991429,720575941629726246,720575940622550089,0.5,11228,0.54
AN05B010,720575941635100603,720575941543158813,720575940622707592,0.44,10591,0.47
AN05B010,720575941557601508,720575941569361658,720575940622707592,0.49,10174,0.56
AN07B005,720575941563646050,720575941563646050,720575940641781152,0.53,10443,0.52
AN19A018_d,720575941456849901,720575941456849901,720575940635632888,0.5,10351,0.49
DNa04,720575941590381380,720575941612044518,720575940628577897,0.73,11216,0.58
AN17A015,720575941432274647,720575941432274647,NA,0.49,11430,0.53
DNpe021,720575941691800539,720575941474063968,720575940606179686,0.42,11427,0.59
DNp08,720575941408508078,720575941408508078,720575940633170643,0.48,12827,0.55
AN01B002,720575941408856879,720575941408856879,720575940627821553,0.48,12239,0.55
ANXXX026,720575941431111087,720575941431111087,720575940617953241,0.39,10849,0.52
AN09B016,720575941498583675,720575941498583675,NA,0.22,12680,0.53
DNpe005,720575941548378804,720575941504328791,720575940613915823,0.45,16197,0.55
AN09B009,720575941596082801,720575941596082801,720575940605119776,0.51,14893,0.59
DNp47,720575941548878728,720575941504921906,720575940615251251,0.53,13226,0.69
AN06B007_a,720575941529735883,720575941529735883,720575940633565536,0.35,11482,0.52
DNbe007,720575941401766435,720575941401766435,720575940644494752,0.53,20029,0.59
ANXXX033,720575941586455774,720575941586455774,720575940635611060,0.49,11082,0.5
AN23B003,720575941490285006,720575941490285006,720575940636004975,0.53,10163,0.52
AN06B002,720575941653553169,720575941653553169,720575940641781152,0.51,10574,0.59
DNp55,720575941568499502,720575941568499502,720575940617245652,0.46,12141,0.48
DNbe002,720575941596748933,720575941596748933,720575940619116061,0.44,13419,0.51
AN01A001,720575941449981277,720575941449981277,720575940619411327,0.55,10518,0.55
DNg49,720575941400290851,720575941400290851,720575940631299855,0.39,15047,0.41
DNbe003,720575941470033117,720575941470033117,720575940617917396,0.51,15650,0.39
DNg29,720575941431211951,720575941431211951,720575940607761244,0.43,11548,0.5
DNge135,720575941552768062,720575941552768062,720575940622263066,0.46,21431,0.51
DNa15,720575941638407199,720575941638407199,720575940631759663,0.51,10621,0.4
DNpe026,720575941409588271,720575941408661934,720575940616274619,0.51,17526,0.42
DNg102,720575941409225902,720575941409225902,720575940621626394,0.46,11968,0.43
DNge140,720575941628153913,720575941628153913,720575940614759149,0.42,15613,0.6
AN23B001,720575941627244396,720575941624808074,720575940624810270,0.4,10882,0.67
AN19B004,720575941565099623,720575941565099623,720575940635221172,0.45,10232,0.5
DNge040,720575941519241176,720575941519241176,720575940645352814,0.45,13092,0.67
DNpe031,720575941480954019,720575941480954019,720575940621554112,0.46,13951,0.49
DNp08,720575941540466381,720575941540466381,720575940628498161,0.5,12707,0.5
AN07B011,720575941548276404,720575941447826708,720575940633791599,0.5,11409,0.45
ANXXX027,720575941687585036,720575941687585036,720575940606663881,0.43,12424,0.55
AN01B002,720575941481244128,720575941688158447,720575940630705170,0.44,10862,0.48
AN17A012,720575941559017252,720575941559017252,720575940630798378,0.45,10726,0.45
AN05B099,720575941440399445,720575941440399445,720575940629015040,0.5,11807,0.5
DNpe025,720575941578384629,720575941578384629,720575940621401222,0.46,12221,0.44
AN17A013,720575941485705478,720575941485705478,NA,0.6,10951,0.53
ANXXX024,720575941603685817,720575941603685817,720575940641824200,0.46,10821,0.68
