neuron1	neuron2	score
720575941603744697	720575940618663838	0.525772
720575941602323897	720575940627432680	0.603155
720575941614272531	720575940624431288	0.448406
720575941703161306	720575940614642491	0.409343
720575941453538473	720575940622633716	0.66277
720575941542664284	720575940610199781	0.609707
720575941539264242	720575940629412170	0.576211
720575941511508690	720575940602382304	0.403873
720575941507243589	720575940621119061	0.564044
720575941546513001	720575940624349993	0.666105
720575941543092060	720575940620354836	0.624735
720575941508517761	720575940625175310	0.419579
720575941721644602	720575940614595643	0.401922
720575941573266171	720575940622161366	0.653264
720575941638266399	720575940609713710	0.467439
720575941626534090	720575940641781152	0.420244
720575941542610437	720575940639428174	0.683502
720575941477443358	720575940620038779	0.63869
720575941461347027	720575940630808827	0.537924
720575941461494483	720575940639789475	0.638891
720575941472160011	720575940655587489	0.597418
720575941607693421	720575940631705130	0.653299
720575941476977969	720575940618096321	0.388526
720575941619883135	720575940622843530	0.578434
720575941645244360	720575940614511614	0.409641
720575941547452084	720575940625747812	0.571359
720575941508298786	720575940611772083	0.554816
720575941461407955	720575940619191966	0.648112
720575941702564314	720575940632754003	0.467404
720575941440280767	720575940609488942	0.608894
720575941547317940	720575940631508598	0.562769
720575941483506618	720575940619206772	0.409423
720575941631028962	720575940616597334	0.565012
720575941436052000	720575940613266026	0.392484
720575941658941264	720575940631928121	0.362096
720575941629726246	720575940622550089	0.573839
720575941543158813	720575940622707592	0.262266
720575941569361658	720575940622707592	0.392829
720575941563646050	720575940641781152	0.427989
720575941456849901	720575940635632888	0.467256
720575941612044518	720575940628577897	0.590761
720575941474063968	720575940606179686	0.558966
720575941408508078	720575940633170643	0.593784
720575941408856879	720575940627821553	0.402803
720575941431111087	720575940617953241	0.393241
720575941504328791	720575940613915823	0.642067
720575941596082801	720575940605119776	0.422404
720575941504921906	720575940615251251	0.619635
720575941529735883	720575940633565536	0.379948
720575941401766435	720575940644494752	0.654367
720575941586455774	720575940635611060	0.414948
720575941490285006	720575940636004975	0.432731
720575941653553169	720575940641781152	0.430113
720575941568499502	720575940617245652	0.615306
720575941596748933	720575940619116061	0.591929
720575941449981277	720575940619411327	0.406177
720575941400290851	720575940631299855	0.672073
720575941470033117	720575940617917396	0.63985
720575941431211951	720575940607761244	0.629134
720575941552768062	720575940622263066	0.656818
720575941638407199	720575940631759663	0.618829
720575941408661934	720575940616274619	0.642198
